,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate,h_county,year,h_tract,paradise
55,60070001031028,21,4,12,5,7,5,9,0,0,0,3,1,1,2,0,0,0,0,1,0,0,1,6,0,2,1,3,20,1,0,0,0,0,16,5,1,3,11,2,11,10,20230321,6007,2013,600700010,0
56,60070001031029,22,4,16,2,9,5,8,0,0,0,2,0,0,2,0,0,0,0,2,0,3,2,6,0,2,1,2,22,0,0,0,0,0,18,4,2,4,4,8,8,14,20230321,6007,2013,600700010,0
57,60070001031030,46,8,32,6,10,13,23,0,0,2,3,1,1,5,2,0,0,1,1,1,2,11,8,0,4,3,1,42,1,0,3,0,0,37,9,4,6,16,12,21,25,20230321,6007,2013,600700010,0
58,60070001031031,32,11,17,4,11,8,13,1,0,0,1,2,1,5,1,0,0,2,0,0,0,3,8,0,5,2,1,31,0,1,0,0,0,26,6,3,1,9,8,14,18,20230321,6007,2013,600700010,0
59,60070001031032,28,7,17,4,9,8,11,2,0,0,0,2,0,3,0,1,0,0,3,0,0,3,7,1,1,3,2,26,0,0,2,0,0,18,10,1,8,7,5,11,17,20230321,6007,2013,600700010,0
60,60070001031033,27,5,21,1,8,6,13,2,0,0,2,1,1,1,0,1,1,0,0,1,2,4,6,0,1,2,2,22,0,0,4,0,1,26,1,0,7,5,10,14,13,20230321,6007,2013,600700010,0
61,60070001031034,26,7,15,4,6,8,12,0,0,0,2,3,0,2,0,0,1,0,2,0,0,6,8,0,1,0,1,23,0,0,3,0,0,26,0,0,4,7,8,9,17,20230321,6007,2013,600700010,0
62,60070001032000,123,35,59,29,31,40,52,2,0,2,4,4,5,22,2,2,3,2,3,3,5,15,13,4,17,2,13,117,1,1,3,0,1,110,13,7,16,28,37,59,64,20230321,6007,2013,600700010,0
63,60070001032001,32,6,20,6,10,10,12,0,0,0,0,2,2,2,0,1,2,0,1,0,1,2,10,1,4,1,3,29,0,0,3,0,0,27,5,3,2,11,10,13,19,20230321,6007,2013,600700010,0
64,60070001032002,15,4,9,2,5,3,7,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,3,0,3,1,1,13,0,1,1,0,0,13,2,0,4,5,2,8,7,20230321,6007,2013,600700010,0
65,60070001032003,4,1,3,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,4,0,0,0,1,2,1,3,20230321,6007,2013,600700010,0
66,60070001032005,15,4,8,3,5,5,5,1,0,0,0,1,0,3,0,0,1,0,0,0,1,4,4,0,0,0,0,13,1,1,0,0,0,13,2,1,3,4,3,4,11,20230321,6007,2013,600700010,0
67,60070001032006,126,26,79,21,38,32,56,7,0,1,3,6,4,5,3,1,1,2,4,1,7,21,33,3,12,6,6,117,4,0,4,0,1,104,22,12,25,32,31,55,71,20230321,6007,2013,600700010,0
68,60070001032007,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,2,1,0,1,1,0,1,2,20230321,6007,2013,600700010,0
69,60070001032008,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,1,20230321,6007,2013,600700010,0
70,60070001032009,3,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,2,1,2,1,20230321,6007,2013,600700010,0
71,60070001032010,2,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,20230321,6007,2013,600700010,0
72,60070001032011,48,9,36,3,12,12,24,0,0,0,4,7,1,3,0,1,1,0,4,0,1,3,4,1,9,4,5,47,0,0,1,0,0,43,5,2,11,19,7,25,23,20230321,6007,2013,600700010,0
73,60070001032012,44,11,28,5,7,13,24,2,0,0,2,0,1,2,1,0,3,0,1,2,2,4,9,3,5,2,5,43,0,1,0,0,0,39,5,2,5,11,15,16,28,20230321,6007,2013,600700010,0
74,60070001032013,5,0,5,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,4,1,0,1,2,2,2,3,20230321,6007,2013,600700010,0
75,60070001032014,8,2,4,2,3,1,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,8,0,0,0,0,0,7,1,0,2,2,2,4,4,20230321,6007,2013,600700010,0
76,60070001032015,43,8,21,14,11,7,25,0,0,3,1,5,1,4,0,1,0,0,2,0,1,5,10,1,4,0,5,38,3,0,1,0,1,40,3,2,14,9,10,25,18,20230321,6007,2013,600700010,0
77,60070001032016,35,4,24,7,8,9,18,0,0,0,2,0,2,4,0,0,1,3,0,0,1,6,8,2,1,5,0,34,0,0,1,0,0,30,5,6,5,15,5,19,16,20230321,6007,2013,600700010,0
78,60070001032017,13,2,9,2,4,6,3,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,2,0,1,2,0,11,0,1,0,0,1,11,2,0,3,4,4,5,8,20230321,6007,2013,600700010,0
79,60070001032018,25,6,12,7,8,7,10,0,1,0,1,2,2,1,0,0,0,0,2,1,1,3,6,1,3,1,0,23,1,0,0,0,1,24,1,2,4,5,8,14,11,20230321,6007,2013,600700010,0
80,60070001032019,7,0,5,2,1,3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,7,0,0,0,0,0,7,0,0,3,2,2,3,4,20230321,6007,2013,600700010,0
81,60070001032020,45,17,21,7,12,17,16,3,0,2,4,1,1,4,0,0,2,1,2,0,2,3,11,1,5,1,2,44,1,0,0,0,0,42,3,6,8,7,7,22,23,20230321,6007,2013,600700010,0
82,60070001032021,59,6,40,13,9,22,28,3,0,1,2,3,0,6,1,0,1,2,7,0,0,7,15,0,3,4,4,50,0,1,6,1,1,50,9,7,16,15,15,28,31,20230321,6007,2013,600700010,0
83,60070001032022,31,6,23,2,9,7,15,0,0,0,1,0,1,2,0,0,0,0,1,0,1,6,12,0,3,2,2,25,0,1,5,0,0,29,2,4,7,6,8,15,16,20230321,6007,2013,600700010,0
